,name,image,description,prep_time,cook_time,total_time,servings_number,servings_unit,course,cuisine,diet,ingredients,instructions,nutrition
10,Sabudana Thalipeeth Recipe (Fasting Snack),https://www.vegrecipesofindia.com/wp-content/uploads/2013/04/sabudana-thalipeeth-recipe-1-280x280.jpg,"Sabudana Thalipeeth are crispy and soft pancakes made with tapioca pearls (sago), mashed potatoes, ground peanuts, herbs and spices. They are also called as Upvasache Thalipeeth in Marathi language and can also be referred to as Sabudana Roti.",8hours,30minutes,8hours,7,Sabudana Thalipeeth,Snacks,"Indian, Maharashtrian","Gluten Free, Vegan, Vegetarian","▢ ⅔ cup sabudana (tapioca pearls)▢ 2 medium or large potatoes – boiled, peeled and mashed▢ ½ teaspoon Cumin Powder▢ 4 tablespoon peanuts – roasted and coarsely ground▢ ½ inch ginger – finely chopped or grated▢ ¼ cup coriander leaves – chopped▢ 1 teaspoon lemon juice▢ 1 teaspoon sugar or add as required▢ rock salt – edible and food grade (sendha namak), add as required▢ peanut oil or ghee as required for pan-frying","Soaking sabudanaPick and rinse the sabudana well till you get transparent water when rinsing.Soak them overnight in enough water in a bowl.The next day, drain all the water very well.Make sure there is no water in them.Making sago mixtureAdd the mashed potatoes and all the ingredients to the soaked sabudana. Mix well. Heat a non stick frying pan or a well seasoned cast uron skillet or tawa.Spread 1 or 2 teaspoon of peanut oil or ghee on the pan.Apply some oil on your palms.Take some portion from the mixture and flatten it with your palms.You can also flatten on a ziplock bag. Cooking sabudana thalipeethPlace the flattened round (thalipeeth) on the frying pan. Keep the heat to medium-low or medium.Fry till both sides are golden brown and crisp. Repeat.If you have a large pan, you can cook 2 to 3 thalipeeth at the same time.Serving suggestionsOn fasting days, serve sabudana thalipeeth with any chutney or raita or homemade tomato ketchup made without onions and garlic. You can also have it with curd (yogurt) that has been sweetened with some sugar or jaggery. For non-fasting days, you can serve with a chutney or raita or tomato ketchup made with onions or garlic. ",NutritionCalories: 153kcal | Carbohydrates: 14g | Protein: 2g | Fat: 10g | Saturated Fat: 2g | Sodium: 187mg | Potassium: 64mg | Fiber: 2g | Sugar: 1g | Vitamin A: 40IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin C: 1mg | Vitamin E: 2mg | Vitamin K: 2µg | Calcium: 7mg | Vitamin B9 (Folate): 13µg | Iron: 1mg | Magnesium: 16mg | Phosphorus: 31mg | Zinc: 1mg
11,Farali Pattice,https://www.vegrecipesofindia.com/wp-content/uploads/2010/05/farali-pattice-recipe-2-280x280.jpg,"Farali pattice is an easy snack of crispy and tasty patties made with potatoes and stuffed with a sweet filling of coconut, nuts and raisins. This dish is from the Gujarati cuisine that is made during fast or upvas.",30minutes,30minutes,1hour,4,,"Snacks, Starters",Gujarati,"Gluten Free, Vegetarian",For outer potato cover ▢ 3 large potatoes or 350 grams potatoes▢ 3 tablespoon arrow root flour (paniphal flour)▢ rock salt (edible and food grade) as required,"Making potato coverRinse the potatoes very well in fresh water.Boil potatoes in a steamer or pressure cooker till they are tender and completely cooked.Peel and chop them when still warm or slightly hot. Take the potatoes in a mixing bowl.Mash the potatoes with a potato masher or fork very well. Allow the mashed potatoes to cool at room temperature.Once the mashed potatoes have come to room temperature, then add arrowroot flour and salt. Since these patties are made during fasting I have arrowroot flour. You can also add buckwheat flour or water chestnut flour if making for fasting. If making for regular days, then add corn starch, rice flour or bread crumbs.Mix the arrowroot flour with the mashed potatoes very well and lightly knead the mixture.Cover and keep aside the potato dough.Making Farali Stuffing Then heat a small pan and add peanuts.Roast the peanuts stirring often on a low flame till they become crunchy and have a few black spots on them. Remove the peanuts and keep aside. Ensure that the peanuts are evenly cooked.In the same pan add cashews.Roast the cashews till you see golden spots on them.Keep also the cashews aside. Allow them to cool.In a mortar-pestle, add the peanuts and coarsely crush them. You can also use a grinder to do the same.In the same mortar-pestle, then add the roasted cashews and just crush them lightly. You can also chop the cashews. The cashews should have small bits and pieces.In a another mixing bowl, take the grated coconut.Add the peanuts and cashews.Then add chopped raisins, sugar, lemon juice, chopped coriander leaves and green chili paste. You can also add fresh ginger paste if you want.Stir and mix the stuffing mixture very well.Assembling and making farali patticeMake medium sized balls from the potato dough mixture.Take each ball and flatten it.Place 1 or 2 tablespoons of the prepared stuffing.Bring the edges towards the center and gently seal the edges. The filling has to be properly sealed within the potato mixture, so that while frying the pattice do not break. Flatten the pattice slightly. You can also apply some oil in your hands while flattening and stuffing the pattice.Prepare all the farali patties this way.Frying farali patticeHeat 3 tablespoons of oil for frying in a tava or griddle or skillet. Coat the pattice with arrowroot flour. Dust off the excess flour from the pattice. This step of coating the pattice with arrowroot flour is optional and you can also skip it.Place the arrowroot flour coated pattice in medium hot oil for pan frying. You can also shallow fry.When one side is partly cooked and light golden, gently flip over with a spatula.Flip again when the other side is golden.Shallow fry these farali pattice flipping a couple of times more till they are golden and crisp from out.Drain them on kitchen paper towels to absorb extra oil.Serve farali pattice hot with a no onion no garlic coriander chutney, sweetened curd or tamarind dates chutney.",NutritionCalories: 369kcal | Carbohydrates: 41g | Protein: 7g | Fat: 21g | Saturated Fat: 5g | Polyunsaturated Fat: 6g | Monounsaturated Fat: 9g | Sodium: 888mg | Potassium: 778mg | Fiber: 5g | Sugar: 7g | Vitamin A: 16IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 3mg | Vitamin B6: 1mg | Vitamin C: 28mg | Vitamin E: 3mg | Vitamin K: 6µg | Calcium: 33mg | Vitamin B9 (Folate): 42µg | Iron: 2mg | Magnesium: 78mg | Phosphorus: 177mg | Zinc: 1mg
12,Sweet Potato Halwa (Shakarkandi ka Halwa),https://www.vegrecipesofindia.com/wp-content/uploads/2013/08/sweet-potato-halwa-recipe-1-280x280.jpg,"Sweet Potato Halwa also called Shakarkandi ka Halwa in Hindi is a delicious Indian sweet made with boiled and mashed sweet potatoes and scented with cardamom, saffron.",20minutes,20minutes,40minutes,3,,"Desserts, Sweets",North Indian,"Gluten Free, Vegan, Vegetarian","▢ 2 sweet potatoes (shakarkandi), medium to large▢ 4 tablespoons sugar  or as required, depends on the sweetness of the sweet potatoes▢ 7 to 8 tablespoon oil (any neutral oil), can add ghee instead▢ 3 to 4 green cardamoms crushed or powdered or ½ teaspoon green cardamom powder▢ 12 to 15 strands of saffron – optional▢ 10 to 12 cashews","Boil the sweet potatoes first adding water as needed in a pot on the stovetop or in a pressure cooker or the Instant Pot. Drain the water and set aside the cooked sweet potatoes to become warm. The sweet potatoes should be fork tender and softened well after cooking. When the sweet potatoes become warm, peel and mash them with a potato masher.Heat oil or ghee in a heavy kadai (wok) or pan.First fry the cashews.Remove when they become golden and keep aside.In the same oil, add the mashed sweet potatoes.Stir well and sauté for 3 to 4 mins on medium-low to medium heat.Add sugar. Mix and sauté for 4 to 5 mins on medium-low to medium heat.Now add cardamom powder and stir to mix.Add saffron and mix again.Keep on stirring and cooking the halwa till the oil or ghee starts to leave the sides of halwa. This will take approx. 10 to 12 minutes on a medium-low to medium heat.Lastly add the fried cashew nuts and stir again.Serve sweet potato halwa hot, warm or cold.",NutritionCalories: 528kcal | Carbohydrates: 52g | Protein: 4g | Fat: 35g | Saturated Fat: 4g | Polyunsaturated Fat: 2g | Monounsaturated Fat: 29g | Sodium: 90mg | Potassium: 637mg | Fiber: 5g | Sugar: 22g | Vitamin A: 21396IU | Vitamin B1 (Thiamine): 0.1mg | Vitamin B2 (Riboflavin): 0.1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 0.4mg | Vitamin C: 7mg | Vitamin E: 14mg | Vitamin K: 6µg | Calcium: 61mg | Vitamin B9 (Folate): 22µg | Iron: 2mg | Magnesium: 68mg | Phosphorus: 114mg | Zinc: 1mg
13,Kaddu ki Kheer (Pumpkin Payasam),https://www.vegrecipesofindia.com/wp-content/uploads/2015/10/pumpkin-kheer-recipe-11-280x280.jpg,"Sweet, creamy, and warmly spiced, this Kaddu ki Kheer (also known as Pumpkin Kheer or Pumpkin Payasam) is a flavorsome, easy-to-prepare traditional sweet dish for the Navratri Festival. This tasty pudding like dessert is made with pumpkin, whole milk, ghee, sugar and nuts.",20minutes,20minutes,40minutes,4,,"Desserts, Sweets",Indian,"Gluten Free, Vegetarian","▢ 2 cups pumpkin (kaddu) – chopped in 1 inch pieces or roughly 220 grams▢ 3 cups whole milk (almond milk for vegan version)▢ 3 to 4 tablespoons sugar or add as per taste. I used unrefined sugar, you can use regular white sugar▢ 5 almonds – sliced▢ 5 pistachios – sliced▢ 5 cashews – chopped, optional▢ 1 teaspoon Ghee or oil – optional▢ ½ teaspoon cardamom powder or ground green cardamom▢ ½ teaspoon grated nutmeg or ground nutmeg▢ ¼ to ½ teaspoon ground cinnamon or cinnamon powder, optional","Cooking PumpkinChop and peel the pumpkin to roughly 1 inch pieces. Take two cups of such pieces.Discard the stringy inner portion. (You can save the pumpkin seeds, wash and dry them and use as a a snack or as additions to other recipes)Cook these pieces in a pressure cooker adding 3 cups of water. Turn off the heat after 2 whistles. Allow the pressure to release naturally. While the pumpkin is cooking, you can slice the nuts and powder the green cardamoms in a mortar, grate the nutmeg and keep them ready.You can also cook the pumpkin in an open pan, to do this, simmer in a pot of water until soft.Then strain the cooked pumpkin and discard the water.Now, mash the cooked pumpkin pieces using a fork or potato masher.Making Kaddu ki KheerRoughly chop the cashews. Then, in a thick bottomed, deep pan, add a teaspoon of ghee or oil. Fry the broken cashews until golden brown. Take them out of the pan, keep them aside until needed. This step is optional. You can just add finely sliced nuts after the kheer is fully cooked.In the same pan, add 3 cups of milk. Bring it to a boil by heating it on a low to medium heat.Once it comes to a boil, simmer and keep stirring it now and again, taking the ladle deep into the pan, touching the bottom. This is to avoid the milk catching at the base. Continue cooking the milk this way for 5 minutes. Keep clearing the sides and the base as it cooks. Keep the heat low enough to allow it to boil but not spill over.After 5 minutes, add the cooked, mashed pumpkin puree. Mix well. Mash lumps of pumpkin is any. Bring this to a boil.Next add 3 to 4 tablespoons of sugar. Again stir to allow the sugar to dissolve and get mixed in. This will need about 1 to 2 minutes.As the sugar dissolves, if not done already, powder the cardamom and grate the nutmeg, slice the almonds, pistachios. Keep these ready.Add ½ teaspoon of cardamom powder, ½ teaspoon of grated nutmeg or ground nutmeg powder, half the quantity of sliced nuts, mix and turn off the heat.If you wish you can add ¼ to ½ teaspoon of ground cinnamon also. Add and mix well.Offer the Kaddu ki Kheer garnished with the remaining sliced nuts to the Goddess and/or share with your family.",NutritionCalories: 198kcal | Carbohydrates: 23g | Protein: 7g | Fat: 9g | Saturated Fat: 4g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 1g | Cholesterol: 21mg | Sodium: 80mg | Potassium: 477mg | Fiber: 1g | Sugar: 20g | Vitamin A: 5239IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 5mg | Vitamin D: 2µg | Vitamin E: 1mg | Vitamin K: 2µg | Calcium: 227mg | Vitamin B9 (Folate): 20µg | Iron: 1mg | Magnesium: 37mg | Phosphorus: 203mg | Zinc: 1mg
14,Samak Rice Pulao (Barnyard Millet Recipe),https://www.vegrecipesofindia.com/wp-content/uploads/2013/08/vrat-ke-chawal-recipe-35-1-280x280.jpg,"Samak Rice Pulao is a simple, healthy and tasty pulao made during Hindu fasting days like Navratri and Ekadashi. Also known as samak/sama/samvat/samo/bhagar and Barnyard Millet in English, this is a popular ingredient used in dishes that are made during the religious fasting days in India.",30minutes,15minutes,45minutes,3,,Main Course,North Indian,Vegetarian,"To Soak▢ 1 cup sama ke chawal or vrat ke chawal or samvat rice or samak rice or barnyard millet▢ water  as required, for soaking","PreparationRinse the samak rice or barnyard millet a couple of times in water like the way we rinse rice.Soak in enough water for 20 to 30 minutes.After 20 to 30 minutes, drain all the water and set the soaked barnyard millet aside.Dry roast the peanuts on a pan or in the oven till they become crunchy.Coarsely powder them in a mortar-pestle or in a dry grinder.Crush the ginger and green chilli to a paste in a mortar-pestle. You can crush to a semi-fine or a fine paste. Make Samak Rice PulaoHeat oil or ghee in a 3 litre pressure cooker. Keep the heat to low or medium-low.Add all the whole spices – cumin, cinnamon, cloves, cardamom and black peppercorns.Fry till the oil become fragrant and the cumin crackles.Add the crushed ginger-green chilli paste and sauté for half a minute on a low heat.Add the cubed potatoes, curry leaves, coriander leaves and sauté for 3 to 4 minutes on a low heat.Now add the peanuts powder and stir to combine. Keep heat to a low.Add the samak rice to the sautéed mixture. Mix and stir very well.Add water and salt as required. Pressure cook on medium heat for 4 to 5 whistles or till the water is absorbed and the millet grains are cooked.When the pulao is cooking, you can dry roast the chopped cashews and almonds. When serving the Samak Rice Pulao, garnish with the the roasted nuts and coriander leaves.When serving also sprinkle some lemon juice in the pulao. You can also keep some lemon wedges by the side of the samvat pulao while serving.",NutritionCalories: 550kcal | Carbohydrates: 84g | Protein: 12g | Fat: 20g | Saturated Fat: 7g | Polyunsaturated Fat: 2g | Monounsaturated Fat: 7g | Cholesterol: 26mg | Sodium: 463mg | Potassium: 748mg | Fiber: 6g | Sugar: 3g | Vitamin A: 131IU | Vitamin B1 (Thiamine): 0.4mg | Vitamin B2 (Riboflavin): 0.2mg | Vitamin B3 (Niacin): 37mg | Vitamin B6: 0.5mg | Vitamin C: 84mg | Vitamin E: 1mg | Vitamin K: 5µg | Calcium: 79mg | Vitamin B9 (Folate): 348µg | Iron: 6mg | Magnesium: 144mg | Phosphorus: 382mg | Zinc: 4mg
15,Kuttu ki Khichdi | Buckwheat Khichdi,https://www.vegrecipesofindia.com/wp-content/uploads/2014/04/kuttu-ki-khichdi-recipe-1-280x280.jpg,"Buckwheat Khichdi is easy to prepare khichdi with buckwheat groats (kuttu), potatoes and peanuts for Navratri fasting. Wholesome super food.",15minutes,15minutes,30minutes,3,,Main Course,Indian,"Gluten Free, Vegetarian","▢ 2 tablespoon peanuts – raw▢ 1 tablespoon Ghee or 1 tablespoon peanut oil▢ ½ teaspoon cumin seeds▢ 1 green chili – chopped or 1 teaspoon chopped▢ ½ inch ginger – finely chopped▢ 2 potatoes medium-sized, chopped in small cubes▢ 1 cup buckwheat groats (kuttu)▢ 2 cups water or add as needed▢ 1 teaspoon raw sugar or regular sugar, add as required▢ rock salt  – edible and food grade, add as required, (sendha namak or upwas ka namak)▢ 1 to 2 tablespoons chopped coriander leaves▢ lemon juice as required, optional","PreparationRoast peanuts in a frying pan or tawa till they become crunchy and golden. Let them cool.Remove and make a coarse powder of them in a mortar-pestle or in a coffee grinder. Keep the powdered peanuts aside.Pick and then rinse the buckwheat a few times in water and keep aside.Making kuttu ki khichdiHeat ghee or oil in a pan or pot. Add the cumin and on low heat saute till they crackle.Then add the green chili and ginger and saute for a few seconds.Add the potato cubes. Saute for 2 to 3 minutes on medium heat stirring often till the potatoes become crisp from the edges. Its better to chop the potatoes in smaller cubes, so that they cook faster.Add the ground peanuts and saute for half a minute. Later add the rinsed buckwheat. Stir well and saute for 1 to 2 minutes on low to medium-low heat.Add the water, sugar and edible rock salt. Stir and mix very well.Cover the pan with its lid and simmer the buckwheat khichdi on a low to medium-low heat.Cook till all the water is absorbed and the buckwheat has softened and cooked well. While the buckwheat khichdi is simmering do check a few times to see if the water has not dried.If the water looks less and the buckwheat groats are half cooked then add some water as needed and gently stir. Cover and continue to cook the buckwheat.Add coriander leaves and give a final stir.Serve buckwheat khichdi hot or warm drizzled with lemon juice if you like.",NutritionCalories: 417kcal | Carbohydrates: 70g | Protein: 13g | Fat: 12g | Saturated Fat: 4g | Polyunsaturated Fat: 2g | Monounsaturated Fat: 5g | Cholesterol: 13mg | Sodium: 456mg | Potassium: 935mg | Fiber: 10g | Sugar: 3g | Vitamin A: 16IU | Vitamin B1 (Thiamine): 0.2mg | Vitamin B2 (Riboflavin): 0.3mg | Vitamin B3 (Niacin): 7mg | Vitamin B6: 1mg | Vitamin C: 31mg | Vitamin E: 1mg | Vitamin K: 3µg | Calcium: 42mg | Vitamin B9 (Folate): 50µg | Iron: 3mg | Magnesium: 185mg | Phosphorus: 316mg | Zinc: 2mg
16,Sabudana Chivda | Sabudana Namkeen,https://www.vegrecipesofindia.com/wp-content/uploads/2014/09/sabudana-chiwda-recipe-1-1-280x280.jpg,This Nylon sabudana chivda is a crispy and tasty fasting snack made from nylon sabudana and dry fruits for the Navratri fasts.,5minutes,25minutes,30minutes,2,to 3,Snacks,Indian,Vegan,▢ ½ cup nylon sabudana large pearls▢ ¼ cup peanuts▢ ¼ cup raisins▢ ¼ cup cashews▢ ¼ teaspoon Red Chili Powder or 1 green chili – chopped▢ ½ teaspoon powdered sugar or as required▢ rock salt (edible and food grade) as required▢ oil for deep frying,"In a metal frying strainer, take the nylon sabudana pearls.Heat oil for deep frying in a kadai/wok. Heat as much quantity, in which the pearls can get immersed completely. Place the metal frying strainer with 2 to 3 tbsp of the sabudana pearls in the oil. Don’t over crowd as then the frying is not even.When the pearls come in contact with the hot oil, they will start puffing up.With a spoon, keep on turning them around, so that they are fried evenly.The pearls have to fried really well. Even if they look, crisp and done from out, they will be hard from inside. To check for doneness, you can bite into a few pearls. If you feel they are not cooked from the center, then continue to fry them. If theyremove and drain the fried pearls on kitchen paper issues.Now fry raw peanuts the same way in the oil, till they change color and become crunchy. Similarly fry the cashews and raisins. When frying the raisins, as soon as they puff up, remove them from oilAs soon as the dry fruits are fried and golden, drain them on paper napkins.You can add rock salt, powdered sugar and red chili powder and mix everything together. Or take all of the fried ingredients in a jar, once the chiwda mixture becomes cool. Sprinkle, salt, powdered sugar and red chili powder.Cover the jar tightly and shake it, so as to mix the seasonings with the sabudana and dry fruits. Store sabudana chivda at room temperature.Serve sabudana chivda plain when required.",
17,Makhane ki Kheer,https://www.vegrecipesofindia.com/wp-content/uploads/2013/09/makhane-ki-kheer-280x280.jpg,"Makhane ki kheer is a sweet dessert pudding made with Makhana (foxnuts), milk, ghee, sugar and dry fruits. This is an easy and popular sweet that is often made during Hindu fasting days.",15minutes,20minutes,35minutes,2,,Desserts,North Indian,"Gluten Free, Vegetarian",▢ 1 cup makhana (foxnuts or phool makhana)▢ 2 cups whole milk  ▢ 3-4 green cardamom – husked and powdered in a mortar-pestle▢ 10-12 cashews or 10-12 almonds – blanched and sliced▢ 1 tablespoon golden raisins▢ 3.5 to 4 tablespoon sugar or as required▢ 1 pinch saffron▢ 2 to 3 teaspoons Ghee (clarified butter),"Roasting makhana and cashewsHeat ghee in a pan.Add the phool makhana and cashews.On a low heat, roast the makhana and cashews in ghee till the makhanas become crunchy. The cashews will also get golden. Stir often while roasting them.Then remove them in a plate and keep aside. However keep the cashews separate from the makhana as we will be making a powder of the roasted makhana.Making makhane ki kheerHeat whole milk in a sauce pan or a thick bottomed pan on medium-low to medium heat.Stir at intervals so that the milk does not scorch from bottom.Let the milk come to a boil.Whilst the milk is getting heated up, reserve ⅓ cup of the roasted makhana and add the remaining in a grinder or blender jar. Add cardamom seeds from 4 green cardamom pods along with a pinch of saffron strands.Grind or blend to a fine powder.When the milk comes to a boil, then add sugar.Add the ground powdered makhana.Also add the reserved ⅓ cup makhana.Mix very well.Simmer till the makhane softens and the milk thickens a bit. About 9 to 10 minutes on a low to medium heat.Scrape the evaporated milk solids from sides of the pan and add to the milk.Lastly add the golden cashews and raisins. If using blanched and sliced almonds, then you can add at this step.Stir and simmer the kheer for a minute.Serve makhane ki kheer hot or warm or cold. Leftover kheer can be refrigerated. On refrigeration the kheer's consistency thickens a bit.",
18,Papaya Halwa (Papaya Sweet),https://www.vegrecipesofindia.com/wp-content/uploads/2013/08/papaya-halwa-recipe-2-1-280x280.jpg,"Papaya Halwa is a Indian sweet or dessert made with papaya. This Papaya Sweet is prepared by slow-cooking semi-ripe papaya, sugar and almond powder in oil. With hints of lovely cardamom, it makes for tasty dessert to end your meals with.",10minutes,40minutes,50minutes,2,,"Desserts, Sweets",Indian,"Gluten Free, Vegan, Vegetarian","▢ 1 papaya medium-sized and semi-ripe,  approx. 4.5 cups of chopped papaya or 3.5 to 4 cups of grated papaya▢ 2 to 3 tablespoons sunflower oil or any neutral oil, can add ghee instead▢ 4 to 5 tablespoons sugar – or as required as per the sweetness of the papaya▢ 2 to 3 green cardamoms powdered or ½ teaspoon green cardamom powder▢ 2 tablespoons almond powder  or milk powder or coconut powder or evaporated milk solids (khoya or mawa) – I used 15 almonds and ground them to get about 2 tablespoons of almond powder▢ 12 to 15 halved cashews or as required","Chopping papayaRinse the papaya and slice them.Remove the seeds and the pith from the top. Peel the slices.Then chop the papaya slices, finely. You could also grate the papaya if its semi-ripe.Making papaya halwaHeat oil or ghee in a kadai or pan. Add the finely chopped papaya.Stir and cook on a low flame for about 14 to 15 minutes.Keep on stirring on occasions while cooking the papaya.The fruit will release it juices, change color and loose its opacity.At this point, add sugar and then stir to combine. Continue to cook for further 18 to 20 minutes on a low heat.By now the oil will begin to separate.Add ground almonds and stir.Cook for 5 to 6 minutes more till the whole papaya halwa has gotten together and become one whole.Add cashews and cook for 1 to 2 minutes more.Serve papaya halwa hot or warm. You can also refrigerate and serve the halwa as a cold dessert.",NutritionCalories: 292kcal | Carbohydrates: 35g | Protein: 2g | Fat: 17g | Saturated Fat: 2g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 13g | Sodium: 8mg | Potassium: 207mg | Fiber: 2g | Sugar: 30g | Vitamin A: 722IU | Vitamin B1 (Thiamine): 0.04mg | Vitamin B2 (Riboflavin): 0.03mg | Vitamin B3 (Niacin): 0.4mg | Vitamin B6: 0.1mg | Vitamin C: 47mg | Vitamin E: 6mg | Vitamin K: 5µg | Calcium: 28mg | Vitamin B9 (Folate): 30µg | Iron: 1mg | Magnesium: 39mg | Phosphorus: 47mg | Zinc: 1mg
19,Singhare Ki Puri,https://www.vegrecipesofindia.com/wp-content/uploads/2013/08/singhare-ki-poori-recipe-1-280x280.jpg,"Singhare ki Puri is a delicious Indian fried bread made with water chestnut flour, mashed potatoes, edible rock salt and a few spices.",25minutes,25minutes,50minutes,3,,Main Course,North Indian,"Gluten Free, Vegan","▢ 2.5 to 3 cups singhare ka atta (water chestnut flour)▢ 1 cup mashed potatoes or 2 medium sized boiled potatoes▢ 1 or 2 green chilies , minced or finely crushed in a mortar-pestle▢ 1 teaspoon Cumin Powder or coarsely crushed cumin▢ 2 teaspoon oil▢ rock salt (edible and food grade) or sendha namak as required▢ water to bind the dough▢ oil to deep fry pooris as required","Kneading DoughRinse the potatoes very well in fresh water. Then add them to a 2 liter pressure cooker. Add enough water covering the potatoes. Also season with a few pinches of edible rock salt. Steam or pressure cook the potatoes for 3 to 4 whistles or until they have softened and are fork tender.When the pressure drops on its own in the cooker then only open the lid.Remove the cooked potatoes with pasta tongs and set them aside on a plate. Ensure that the potatoes are drained well of water.When warm, peel and mash the potatoes with a fork or a potato masher in a bowl.Add the water chestnut flour, minced green chilies, cumin powder, edible rock salt and oil.Mix the ingredients first.Add very little water about 1 to 2 tablespoons and begin to knead the dough.Don't add water unless required.Knead the dough and if it looks dry or lumpy in some parts, then add little water and knead again.The dough should be smooth, soft and pliable.The dough should not be sticky. If the dough looks sticky then sprinkle some water chestnut flour and knead again.With a sticky dough you won't be able to roll the puri.Assemble & RollTake small or medium sized balls from the dough. Shape them to a neat ball between your palms.Sprinkle some water chestnut flour on the rolling board and on the dough ball.Roll the balls in to small or medium sized pooris.Don’t make thin or thick pooris.The thin ones will break when frying and the thick ones will get browned quickly from out leaving the insides uncooked.Frying Singhare ki PuriHeat oil in a kadai for deep frying the pooris.When the oil is medium hot, place the poori gently in the oil.When one sides puffs up, aid the poori to puff up by gently nudging it with the slotted spoon. When this side becomes golden then gently turn over and fry the second side until golden and crisp.If needed you can flip a few more times for even cooking.When singhare ki puri is golden, remove from the slotted spoon and drain on paper towels to remove excess oil. This way fry the remaining puri in batches.Serve the singhare ki poori hot with vrat ke aloo or kaddu ki sabji.",NutritionCalories: 327kcal | Carbohydrates: 43g | Protein: 3g | Fat: 17g | Saturated Fat: 2g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 14g | Sodium: 962mg | Potassium: 454mg | Fiber: 8g | Sugar: 7g | Vitamin A: 11IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 2mg | Vitamin B6: 1mg | Vitamin C: 24mg | Vitamin E: 8mg | Vitamin K: 3µg | Calcium: 20mg | Vitamin B9 (Folate): 21µg | Iron: 2mg | Magnesium: 25mg | Phosphorus: 70mg | Zinc: 1mg
20,Rajgira Puri | Amaranth Puri,https://www.vegrecipesofindia.com/wp-content/uploads/2013/10/rajgira-ki-poori-recipe-2-280x280.jpg,"Rajgira Poori or Amaranth Poori are deep fried puffy breads made from amaranth flour, boiled mashed potatoes and edible rock salt. It also happens to be naturally gluten-free and vegan. Amaranth flour or seeds are usually eaten during the Hindu fasting or vrat season in India.",25minutes,25minutes,50minutes,3,,Main Course,Indian,"Gluten Free, Vegan","▢ 2 cups amaranth flour (rajgire ka atta)▢ 1 potato – large▢ rock salt (edible and food grade) (sendha namak) as required▢ water – as required to knead the dough▢ some rajgira atta or amaranth flour – for dusting▢ oil – for deep frying, as needed","Boil PotatoBoil the potato with water almost covering it in a pan or pot.The potatoes can also be peeled first and then halved or quartered or cubed and later boiled in water.Once fork tender, drain all the water. Let the potato cool completely.Peel and mash it finely in a bowl. There should be no chunks in the mashed potatoes. You could also opt to cook the potato in a steamer pan or in a stovetop pressure cooker or an electric pressure cooker like the Instant Pot.Make DoughAdd rajgira flour and salt to the mashed potatoes. First mix the whole mixture well.Then add very little water, just about ½ to 1 teaspoon and begin to knead the dough.Again add ½ to 1 teaspoon of water and knead so that there is no dryness in the dough.Remember to add water as needed while kneading the dough.The dough should not be sticky or look floury or dry. If the dough feel sticky add some amaranth flour and again knead. If it looks floury, add in some water and knead.Keep aside covered for 15 minutes.Roll & Fry Rajgira PuriPinch portions of th dough and roll to small to medium-sized balls. Keep aside covered with a lid or a cotton napkin. On a flour dusted work surface, roll each ball to medium-sized poori, neither thin nor thick. Fry them in medium hot oil in batches until puffy and golden. Remove the rajgira puri with a slotted spoon and place them on kitchen paper napkins to remove excess oil.Serve Rajgire ke Poori hot or warm with a satvik vegetable curry/sabzi or paneer curry.",NutritionCalories: 462kcal | Carbohydrates: 64g | Protein: 12g | Fat: 19g | Saturated Fat: 3g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 12g | Sodium: 407mg | Potassium: 299mg | Fiber: 9g | Sugar: 1g | Vitamin A: 1IU | Vitamin B1 (Thiamine): 0.1mg | Vitamin B2 (Riboflavin): 0.02mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 0.2mg | Vitamin C: 17mg | Vitamin E: 6mg | Vitamin K: 2µg | Calcium: 113mg | Vitamin B9 (Folate): 11µg | Iron: 6mg | Magnesium: 16mg | Phosphorus: 40mg | Zinc: 0.2mg
